HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
RightHand,476.45,482.59,445.66,461.27,420.46,416.92,406.40,385.82,393.90,363.20,451.70,379.43,444.14,339.08,427.95,318.39,415.55,302.18,467.39,380.27,457.07,338.37,432.38,319.95,413.81,306.35,481.35,386.62,465.75,347.42,440.23,335.42,424.11,328.04,492.65,398.72,473.65,369.33,452.54,360.77,438.60,358.49,103.121
LeftHand,279.40,433.74,283.29,392.32,303.00,343.58,315.35,304.95,308.37,274.42,322.45,334.71,374.72,285.86,411.18,258.11,439.90,235.75,331.42,349.29,386.41,302.20,426.99,277.41,459.59,258.38,341.93,375.44,397.19,329.43,438.57,307.12,471.90,290.48,354.60,408.35,393.30,376.95,421.53,358.25,448.72,343.30,177.728
LeftHand,311.51,400.49,304.51,370.41,307.79,332.84,308.36,304.05,300.83,280.33,338.74,309.64,377.99,274.34,405.51,251.78,426.96,234.33,350.32,322.04,394.47,287.49,426.88,264.51,455.00,246.00,359.59,343.63,402.43,312.54,432.39,291.82,458.43,274.04,368.67,371.00,398.52,353.25,417.13,339.42,435.47,326.55,21.011
LeftHand,276.62,419.70,278.59,388.73,294.63,344.10,306.33,309.72,300.58,280.75,312.43,333.73,356.98,284.16,390.25,254.82,417.34,232.95,321.50,346.33,375.15,294.27,416.79,265.65,450.32,245.08,331.79,369.11,383.90,316.39,421.69,290.02,452.59,269.96,344.30,398.12,378.64,360.99,403.72,337.40,427.55,316.92,19.573
LeftHand,282.58,414.54,279.84,382.12,291.12,336.49,297.48,302.93,287.17,277.95,307.13,329.07,344.74,283.01,375.33,255.73,400.50,235.40,318.02,342.44,361.86,293.50,398.53,264.45,429.44,242.93,330.21,363.78,373.15,316.83,408.96,291.63,439.09,273.36,344.27,390.08,374.58,354.84,398.17,332.19,421.03,313.76,10.968
RightHand,432.80,483.17,393.70,457.09,365.22,410.34,351.08,373.96,338.96,347.56,389.26,354.56,369.96,324.30,355.10,313.52,350.04,302.61,408.93,361.65,394.56,324.72,376.79,327.57,372.70,329.81,429.11,378.48,412.27,351.24,385.35,368.52,376.33,381.32,447.16,402.56,424.61,388.89,404.40,401.91,397.52,413.95,59.438
LeftHand,272.94,427.80,272.48,390.78,285.64,342.72,294.63,307.38,285.72,281.13,295.43,334.93,334.17,281.47,365.11,250.11,390.21,226.87,304.36,348.67,353.35,292.11,392.14,258.72,423.87,233.02,316.63,371.31,364.20,313.51,399.42,281.18,429.19,255.37,332.68,399.48,362.92,359.69,385.90,334.10,409.05,311.81,11.861
LeftHand,288.56,407.73,284.23,376.68,289.87,334.53,294.49,304.31,283.55,280.90,305.90,316.92,341.31,270.62,367.60,241.01,388.74,217.91,315.72,329.89,361.75,280.13,398.01,248.97,428.51,225.26,326.78,352.43,369.62,304.51,400.79,276.58,428.30,254.11,340.89,381.40,368.57,350.97,386.86,330.26,405.53,311.31,11.601
LeftHand,266.61,418.44,267.34,387.47,281.08,339.98,291.79,306.10,282.66,280.31,290.71,331.01,324.88,279.09,352.73,247.28,375.04,222.85,298.67,341.88,340.21,284.36,375.31,251.67,404.45,226.95,310.30,361.93,351.07,304.14,383.42,273.85,410.75,250.60,326.19,388.11,353.98,349.62,374.20,326.40,393.55,306.54,16.607
LeftHand,260.88,416.84,263.50,386.77,277.69,340.82,288.05,307.01,279.95,279.95,289.44,331.46,324.45,279.29,353.87,246.68,377.97,221.59,294.83,341.89,336.08,283.38,370.23,248.08,398.86,220.46,305.21,361.77,345.31,302.98,376.91,269.61,404.02,242.84,320.87,387.96,348.91,350.39,368.81,325.95,387.69,304.84,4.766
