HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
RightHand,365.09,445.78,413.29,408.70,430.13,351.51,417.87,300.16,398.92,261.32,432.88,376.15,425.54,282.49,416.08,231.55,406.33,195.31,383.33,380.25,377.83,274.45,377.19,219.96,378.50,185.11,337.50,377.44,333.37,278.62,342.37,226.48,350.99,191.60,302.48,369.83,308.59,294.89,326.03,261.19,340.95,239.75,0.000
RightHand,376.05,456.71,421.58,418.08,437.30,359.54,426.58,308.83,410.00,271.23,440.76,381.19,437.82,293.22,426.24,242.51,415.81,203.55,394.34,391.40,385.47,290.77,377.37,226.34,373.76,180.61,348.65,392.89,338.39,295.65,338.98,232.57,344.18,187.49,309.53,387.30,301.61,307.29,306.43,257.92,315.36,219.24,14.436
RightHand,386.54,463.49,430.47,414.68,450.11,347.87,463.05,283.55,483.95,237.05,441.84,367.39,446.92,275.12,445.18,211.11,441.05,159.76,392.40,378.81,382.41,278.56,372.86,206.23,362.28,150.80,344.08,388.81,310.74,303.98,287.95,242.80,269.15,197.95,304.07,396.01,259.49,329.02,229.28,290.71,202.84,258.96,37.525
RightHand,387.80,467.21,435.26,415.24,456.43,347.38,469.72,286.44,492.79,244.97,446.64,370.94,457.49,285.53,463.33,224.96,467.04,173.22,396.99,380.91,385.56,288.71,378.09,218.53,368.33,164.04,347.82,387.97,308.39,312.93,282.87,258.03,259.15,216.43,305.97,390.55,259.25,327.26,228.44,296.12,198.98,269.25,10.710
RightHand,412.57,468.58,358.90,441.38,322.60,390.49,313.10,342.33,315.92,306.75,327.17,384.15,281.48,330.85,252.28,300.73,224.18,277.48,363.10,384.02,334.25,323.39,313.17,274.40,294.37,235.25,407.71,385.24,402.66,317.76,398.76,260.99,390.96,214.28,453.52,386.99,474.26,327.07,483.27,289.14,488.13,258.10,0.000
RightHand,413.38,477.41,456.68,436.34,482.25,382.02,493.79,336.32,512.98,304.46,478.83,382.91,502.84,339.25,516.41,306.34,528.34,275.33,436.77,385.37,443.30,336.47,442.84,293.14,440.49,259.64,392.70,392.42,364.10,341.15,335.27,306.75,308.00,282.87,355.79,400.72,313.09,359.03,277.49,335.68,243.74,317.14,65.568
RightHand,418.64,469.42,461.67,418.54,504.40,358.98,544.12,317.42,579.46,297.21,486.58,377.26,514.15,335.39,542.01,311.99,570.63,292.76,446.91,387.09,452.28,347.25,452.05,312.93,447.77,286.95,405.40,396.85,377.72,358.74,351.84,328.19,324.19,305.52,365.77,403.69,330.84,373.06,303.94,354.30,278.60,338.43,25.973
RightHand,435.60,464.44,490.79,415.96,532.37,356.95,571.52,320.75,614.20,304.85,510.59,373.39,529.21,332.80,548.00,313.23,568.91,299.25,469.25,382.07,478.25,349.88,489.03,321.24,497.48,299.54,424.28,389.84,400.28,354.73,384.78,326.15,368.15,304.22,381.30,397.21,340.17,371.04,311.11,356.64,286.34,340.69,23.370
RightHand,440.99,478.59,490.11,428.71,522.07,367.68,554.32,328.18,593.31,306.05,508.87,381.14,527.43,335.93,542.15,313.56,562.48,295.96,471.57,391.35,477.65,356.66,485.25,325.91,495.81,299.93,429.62,400.48,402.63,356.72,380.66,324.02,361.94,302.54,387.12,409.21,349.51,371.94,325.44,352.87,304.55,333.31,10.208
RightHand,432.60,465.55,484.58,415.09,525.93,356.25,566.59,319.28,612.92,298.23,503.52,381.21,522.43,344.45,540.72,318.29,561.09,296.18,461.17,389.43,474.82,358.38,485.08,320.75,490.57,289.98,417.61,393.53,401.65,358.26,384.24,328.10,363.55,307.31,378.06,395.79,342.29,362.52,312.77,347.60,282.54,333.51,10.494
RightHand,427.99,474.57,478.28,439.82,496.74,385.77,499.61,342.06,502.22,313.81,502.11,389.62,535.84,331.58,558.61,293.57,581.23,261.36,466.08,395.18,476.13,333.31,481.29,280.85,485.76,241.01,422.90,401.01,400.82,333.47,385.97,290.47,370.90,264.39,380.74,405.67,357.46,355.71,347.07,332.90,334.27,315.19,33.988
RightHand,437.75,428.35,481.22,404.32,512.42,369.48,511.01,332.46,516.44,289.29,559.36,474.16,562.85,416.30,545.23,361.45,531.65,329.18,514.03,495.97,510.69,429.09,497.27,366.90,485.90,332.31,463.85,496.64,456.36,433.82,448.29,371.74,441.76,335.63,415.50,486.57,407.99,433.49,409.47,386.28,411.91,355.74,78.920
