HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
RightHand,481.71,226.34,469.24,212.40,462.65,196.01,460.45,186.26,461.42,184.32,478.23,175.14,472.32,156.32,469.37,142.72,469.01,131.28,488.62,179.39,480.59,159.27,474.75,146.55,472.02,134.73,495.23,189.81,471.66,182.62,462.95,191.60,464.30,197.09,496.42,203.89,473.21,200.60,466.90,205.39,469.96,208.67,128.894
RightHand,486.32,267.96,476.35,256.43,472.18,242.94,472.97,234.31,472.42,228.89,490.55,223.76,494.03,209.74,496.83,201.78,500.03,194.83,498.24,227.74,500.66,213.82,501.46,206.06,502.27,199.20,503.85,234.62,500.30,229.48,495.70,233.79,493.42,237.77,507.85,243.07,503.86,237.65,499.68,239.47,497.07,242.33,52.423
LeftHand,410.01,333.36,432.99,313.52,460.97,316.14,479.30,331.47,489.09,344.77,473.30,319.52,510.22,331.65,534.07,339.37,551.66,347.02,469.89,339.63,508.98,349.82,535.41,356.16,556.01,363.21,462.52,357.95,493.90,369.21,490.58,362.88,481.60,357.14,453.06,372.47,478.24,379.75,477.18,373.53,470.09,367.84,36.984
RightHand,478.04,260.36,469.14,245.00,466.89,229.74,466.16,220.50,467.86,221.27,489.26,216.71,491.47,202.81,494.64,193.48,499.62,185.79,498.28,222.76,500.09,205.52,502.25,194.70,505.60,185.33,502.69,233.52,486.04,222.02,473.12,226.92,467.19,232.17,501.15,246.73,483.54,239.52,473.92,240.28,470.00,242.37,13.496
LeftHand,399.92,331.25,422.44,311.22,451.16,311.16,469.21,323.81,477.99,335.84,471.31,315.86,504.37,326.60,526.92,334.53,543.67,340.84,467.58,334.39,500.92,344.06,522.64,349.78,540.18,355.26,459.57,351.55,487.75,360.63,483.00,357.33,472.81,354.29,449.21,366.01,472.88,371.80,469.79,367.78,461.24,364.93,9.967
RightHand,481.41,269.12,473.27,254.07,470.68,239.12,471.51,231.48,472.33,229.98,493.52,223.88,495.41,209.97,497.87,200.57,501.94,193.41,499.48,230.46,497.80,213.93,496.64,204.78,498.13,197.52,501.68,240.39,489.57,230.28,482.60,234.84,481.15,240.35,499.35,251.62,487.76,242.63,481.90,244.95,480.81,248.89,9.661
LeftHand,400.70,324.49,426.11,304.38,455.36,305.76,474.57,318.43,483.95,331.74,470.72,308.10,506.54,318.46,529.56,325.76,546.71,333.24,467.53,327.07,506.65,335.29,532.44,341.26,552.73,348.40,459.56,346.09,489.96,354.77,482.19,349.87,469.60,346.21,448.87,362.55,473.47,367.51,468.42,362.08,458.49,359.14,7.756
LeftHand,398.80,322.37,421.70,301.46,452.57,297.48,474.86,305.32,487.22,314.68,469.00,302.31,501.63,305.41,521.14,307.79,534.36,310.03,468.34,317.61,499.13,322.76,495.93,321.97,487.69,321.11,463.59,333.42,490.60,340.27,485.15,337.64,475.64,335.56,456.54,347.93,479.27,353.37,473.99,350.25,464.96,347.86,17.139
LeftHand,397.11,325.78,415.31,302.62,441.47,298.27,461.49,307.46,473.87,317.37,454.98,302.57,489.21,307.90,511.77,312.57,528.40,317.80,454.45,322.10,494.44,327.87,520.04,330.62,538.99,333.67,450.00,341.06,482.97,347.55,487.10,342.46,484.68,338.32,442.09,357.77,468.16,361.54,468.78,355.25,463.09,350.38,13.238
LeftHand,403.97,322.62,421.44,299.90,446.97,297.06,467.23,308.76,479.43,320.11,457.55,301.93,491.76,308.01,513.76,312.95,530.06,318.15,456.49,321.38,494.43,325.97,518.34,328.48,536.20,331.02,451.82,340.16,483.18,345.58,485.70,342.16,483.05,339.20,443.85,356.43,467.61,360.33,468.32,355.89,464.03,352.54,3.119
LeftHand,403.73,323.51,418.85,303.16,444.27,299.07,464.92,306.72,478.00,316.60,454.75,303.16,486.61,307.11,508.53,311.20,524.40,315.13,454.35,320.70,487.22,325.86,491.40,330.68,490.18,333.84,450.17,338.86,479.65,344.57,481.53,343.95,479.64,342.61,443.27,355.41,466.41,358.66,465.16,356.47,461.02,354.52,6.823
LeftHand,395.65,323.36,413.28,301.05,438.97,296.92,459.84,306.79,473.51,317.24,453.64,300.84,489.07,306.96,511.44,310.62,527.95,315.45,452.76,320.15,493.40,325.39,517.95,327.57,536.21,330.80,448.03,339.55,481.85,346.66,477.50,341.89,468.87,338.11,439.75,356.97,466.66,359.75,462.65,354.37,453.90,351.09,7.586
LeftHand,392.51,325.47,410.82,302.90,437.47,299.70,458.15,310.71,471.48,321.19,451.55,303.00,488.68,308.44,512.43,313.16,530.35,318.64,450.88,322.69,494.41,328.23,520.02,330.91,539.09,334.81,446.46,341.91,482.13,349.32,477.81,343.18,469.06,338.82,438.43,358.98,465.52,362.53,462.71,355.55,455.10,350.79,2.879
LeftHand,388.62,330.36,404.68,306.35,431.58,299.85,454.54,308.16,469.79,318.15,447.28,304.60,483.73,308.53,507.57,312.62,526.10,317.33,446.98,323.92,491.80,329.51,515.77,332.61,534.68,336.37,441.69,343.34,480.81,350.36,471.47,345.18,459.24,341.73,432.86,361.19,462.41,363.79,456.27,357.71,445.89,354.14,5.316
LeftHand,385.95,331.85,402.94,308.14,432.06,304.04,455.82,313.41,471.09,323.87,445.15,306.45,482.54,311.19,507.58,315.82,526.32,320.19,444.62,326.61,486.75,330.04,499.73,329.84,508.20,329.59,440.25,346.86,479.30,352.58,472.07,347.36,461.05,344.40,433.02,364.72,461.00,367.81,455.02,361.09,445.53,357.12,5.308
