HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
RightHand,396.60,236.51,408.93,193.52,398.01,154.45,372.01,135.87,347.93,134.37,401.67,129.62,354.55,108.68,336.68,119.16,334.47,127.49,388.03,133.80,332.64,120.22,330.09,137.12,340.61,145.87,373.07,144.89,320.22,138.04,325.77,157.39,340.93,162.67,357.99,162.06,317.75,163.64,325.13,179.47,339.76,184.35,8.643
RightHand,413.24,280.00,407.68,232.82,378.16,187.13,335.43,164.42,305.51,153.40,397.27,156.22,338.66,134.98,331.76,155.66,339.55,168.56,386.87,171.64,318.48,161.78,324.93,182.84,341.06,190.60,373.59,193.47,313.83,192.56,324.48,211.15,341.11,214.59,358.60,218.14,313.73,219.02,322.38,233.44,335.55,236.74,45.372
RightHand,406.48,256.23,406.55,212.68,381.05,175.15,341.13,159.57,312.28,151.44,395.80,148.13,342.01,136.03,331.64,152.96,335.68,163.36,382.70,161.13,323.21,162.69,328.60,181.01,343.73,187.05,368.64,179.39,315.95,183.09,326.24,199.76,341.53,203.84,354.64,200.69,317.13,204.01,326.72,218.17,339.92,221.66,10.909
LeftHand,210.66,331.20,254.69,294.11,313.53,279.50,363.47,304.13,390.10,333.42,283.93,210.50,362.21,231.69,371.87,259.31,355.71,267.59,262.23,243.48,365.22,281.43,354.08,306.26,326.09,305.60,248.49,289.48,351.87,335.86,330.89,348.60,297.06,337.93,239.10,338.35,322.45,373.35,305.74,377.84,275.37,368.55,364.730
LeftHand,199.78,327.06,248.65,272.49,315.16,249.23,374.83,273.06,403.58,318.07,301.49,193.96,383.08,218.25,382.66,256.04,361.33,271.33,276.42,224.52,389.67,270.59,368.33,305.48,336.06,307.05,258.94,271.16,368.22,327.55,338.39,345.46,302.06,334.30,246.61,324.62,329.23,368.32,310.31,375.64,281.94,362.86,16.728
LeftHand,165.65,332.58,222.77,282.80,286.16,255.55,340.78,272.48,362.87,310.08,250.44,188.38,338.44,219.55,336.78,260.18,317.98,274.27,225.24,222.69,335.74,263.96,316.79,299.25,290.11,301.48,209.06,268.76,316.10,315.47,290.92,336.48,260.85,331.62,200.75,320.33,289.88,352.71,281.50,362.27,262.45,356.44,42.412
LeftHand,162.10,311.49,211.11,260.84,272.32,231.49,326.03,243.94,346.61,275.62,249.37,180.82,336.68,205.75,340.57,244.08,321.84,261.03,226.75,212.39,336.37,256.02,316.18,288.56,286.16,289.35,210.33,257.54,314.30,305.62,287.40,325.81,256.99,320.05,200.68,308.61,283.81,346.83,268.97,355.67,245.11,347.73,16.021
LeftHand,169.09,316.11,225.52,261.27,288.58,230.77,337.22,250.29,348.99,292.40,262.38,174.25,348.28,206.92,351.79,252.56,334.63,272.02,231.68,211.92,341.48,262.99,316.49,295.98,284.93,291.75,210.19,260.87,314.44,314.09,284.82,332.03,254.38,322.29,198.41,313.13,285.47,349.34,270.25,358.60,246.40,350.21,8.847
LeftHand,392.39,263.99,349.70,240.63,320.31,210.39,300.52,187.76,289.27,167.13,370.13,158.23,319.59,154.10,304.97,173.39,304.54,189.57,382.07,160.10,328.90,161.88,315.23,180.30,314.03,196.11,388.27,168.78,338.69,172.25,327.74,189.52,326.84,204.63,391.62,181.26,352.07,185.49,342.14,199.00,339.27,210.47,134.028
LeftHand,144.85,350.16,194.65,300.66,255.62,265.45,305.90,263.64,336.29,277.30,245.55,213.88,335.90,254.58,337.54,292.22,315.78,304.49,221.34,248.17,336.41,296.31,321.69,332.00,294.97,339.93,202.20,296.73,309.88,350.02,287.84,371.53,259.74,368.58,188.21,350.36,276.63,392.46,268.71,399.56,249.19,391.51,165.281
RightHand,399.77,269.94,390.42,230.85,367.75,196.43,336.09,177.10,313.70,168.67,391.22,163.86,334.67,159.32,333.54,178.95,343.79,188.15,387.10,175.29,325.18,181.17,330.46,197.99,344.45,204.07,376.68,192.89,322.50,199.13,329.78,214.99,343.92,219.69,362.53,212.03,321.14,215.83,327.68,230.64,340.34,235.84,18.016
LeftHand,161.29,361.01,226.22,314.81,297.41,297.04,351.53,325.82,370.41,365.10,262.43,221.56,355.54,265.80,347.51,306.34,318.95,314.83,231.63,259.47,344.58,309.14,324.11,343.24,292.43,344.28,210.10,311.07,320.12,364.27,292.83,383.82,259.45,376.13,197.29,367.17,289.88,408.35,276.52,417.49,251.97,410.30,25.113
RightHand,397.34,275.14,386.01,238.91,363.15,203.07,334.62,184.01,316.30,172.82,389.97,165.93,336.33,167.03,334.18,185.09,343.28,195.54,386.52,176.51,328.83,183.04,332.39,199.26,344.70,207.56,376.90,193.18,324.36,202.48,330.82,218.25,344.91,224.68,363.46,212.45,322.81,221.45,329.30,235.18,342.37,239.41,4.697
LeftHand,163.61,363.71,229.55,316.57,299.58,299.19,351.10,324.65,367.60,358.85,261.98,227.86,352.36,267.79,341.13,304.39,310.58,306.58,230.52,266.61,342.52,316.28,322.24,348.49,293.48,346.63,209.19,319.05,321.78,368.46,296.80,387.85,265.34,382.50,197.84,377.14,294.26,415.14,293.80,425.25,281.47,423.14,7.895
