HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
RightHand,515.61,437.88,489.84,403.02,462.90,368.87,437.97,347.04,416.77,334.30,486.83,350.42,433.23,325.53,397.20,319.48,368.21,319.66,484.35,353.85,425.09,329.04,386.65,322.71,353.51,322.56,479.80,363.09,424.67,336.50,390.83,328.20,362.55,325.21,472.50,375.30,439.98,352.19,418.41,338.13,399.18,327.64,0.000
RightHand,516.76,384.64,482.21,360.98,463.90,315.25,461.21,278.90,459.49,252.54,468.64,281.74,451.08,242.09,430.32,219.38,412.19,201.03,481.44,276.48,457.08,238.19,432.18,215.41,408.39,197.01,498.54,275.51,473.35,235.95,446.74,213.81,421.69,197.42,519.97,277.90,497.50,243.63,473.05,226.40,448.62,216.34,98.871
RightHand,479.18,145.99,490.49,101.22,475.56,58.97,447.83,38.16,423.39,31.53,471.13,42.97,446.64,15.79,419.03,1.97,395.25,-3.66,451.79,51.37,424.49,26.75,393.18,15.03,367.49,8.51,437.90,63.17,411.37,38.08,380.57,26.51,353.64,20.39,429.61,80.39,408.55,56.35,386.87,45.81,366.14,41.03,0.000
RightHand,476.37,151.24,451.35,138.03,429.66,105.48,415.44,76.78,401.77,58.12,438.40,69.11,409.49,42.86,380.03,30.26,355.94,24.49,440.86,63.59,411.20,37.30,379.13,25.75,352.20,20.74,446.62,63.05,419.01,35.08,387.75,24.82,359.82,20.50,457.95,68.79,435.58,45.19,411.91,37.03,388.79,35.65,205.527
RightHand,485.25,167.91,485.06,146.19,473.91,105.54,457.19,77.64,436.10,62.84,464.53,64.15,433.81,33.88,402.29,21.56,373.61,16.57,450.68,65.00,418.87,37.03,385.99,24.74,358.61,19.23,441.66,71.46,411.51,44.30,379.66,34.31,351.23,31.28,436.67,83.77,411.80,58.96,387.41,48.17,364.81,44.98,18.719
RightHand,476.37,156.23,476.17,147.08,468.34,118.69,457.65,97.05,447.08,85.81,457.43,65.33,429.03,36.31,398.97,23.08,371.14,17.80,448.40,64.02,417.59,36.21,386.58,24.08,359.82,19.38,443.82,67.98,414.37,43.64,382.54,33.79,354.53,32.93,441.61,78.43,417.26,60.64,392.15,52.37,368.17,51.53,7.055
RightHand,481.52,171.24,504.46,140.23,495.43,94.09,465.10,68.56,433.74,59.64,473.22,64.49,441.46,32.11,409.84,18.54,381.15,13.71,449.64,72.77,414.54,42.98,380.85,32.43,353.16,30.60,432.36,85.25,401.20,57.37,371.18,48.79,344.79,48.37,420.53,102.60,397.91,77.65,376.62,66.45,355.85,64.36,19.274
RightHand,466.73,173.99,462.87,165.21,455.39,132.66,450.73,104.73,442.50,88.30,457.85,78.56,431.68,44.64,401.35,26.89,373.09,17.78,446.64,79.10,413.60,50.09,379.42,38.86,351.03,34.82,438.81,84.51,408.33,58.49,374.93,51.04,345.42,49.31,434.35,96.03,410.88,75.77,386.08,68.54,363.19,68.04,16.034
RightHand,467.27,179.76,479.27,170.24,471.56,141.67,457.46,119.99,446.37,105.59,463.88,77.16,437.34,45.13,408.06,27.46,381.38,16.90,444.81,79.76,413.74,50.58,379.90,38.44,352.29,34.62,431.93,86.93,400.50,62.37,367.49,55.12,339.97,55.00,424.86,99.23,399.59,79.80,375.04,73.00,353.57,73.73,8.792
RightHand,477.97,175.85,499.40,147.27,488.70,105.60,457.28,86.21,428.13,77.68,474.91,72.00,443.54,41.98,411.73,25.76,382.73,16.55,449.78,80.82,414.87,52.88,380.47,40.91,353.01,36.46,431.82,92.31,399.28,65.27,367.49,56.48,340.97,54.65,420.78,107.20,395.59,81.63,372.23,69.11,351.48,65.12,10.651
RightHand,473.10,175.55,498.95,154.18,494.55,115.28,469.26,89.48,441.30,75.10,476.61,77.39,446.47,46.69,414.98,29.38,386.85,19.28,452.63,82.89,419.37,56.22,385.69,43.34,359.30,37.94,434.23,93.13,402.81,67.70,371.41,58.09,345.69,55.08,422.21,107.75,397.63,88.21,375.26,79.03,355.60,77.80,6.630
RightHand,477.82,190.58,501.15,160.15,494.61,116.44,465.48,92.38,435.92,81.54,477.18,84.93,446.44,52.57,415.03,38.27,387.19,30.79,452.89,92.10,418.16,63.25,386.13,53.05,360.69,50.27,434.18,102.64,403.53,74.35,375.23,66.00,350.89,64.63,422.04,116.94,400.57,92.30,381.01,81.37,362.12,79.24,8.177
RightHand,481.26,195.02,499.00,162.30,487.32,117.55,456.89,95.84,427.80,85.37,474.02,86.11,446.47,54.42,416.17,38.80,387.43,31.38,450.29,96.81,418.11,67.96,383.87,57.60,356.18,56.46,434.39,110.75,405.10,81.84,375.52,73.63,349.59,71.27,426.81,129.24,407.12,103.07,389.29,90.15,371.77,84.99,6.834
RightHand,470.56,188.76,486.76,166.67,477.32,122.98,451.87,96.39,425.97,80.08,474.79,86.89,446.95,54.62,416.32,37.67,387.59,28.78,454.80,89.52,420.53,61.30,386.11,51.43,357.85,48.70,440.30,96.03,406.75,69.54,374.34,63.04,346.27,62.83,431.07,107.48,403.98,84.05,379.00,75.32,356.38,74.13,9.966
RightHand,483.25,191.81,446.92,185.84,425.09,153.76,417.47,125.99,407.96,101.75,434.86,105.70,406.69,82.02,378.47,72.43,353.78,69.52,445.62,93.40,412.66,67.18,380.79,56.69,353.70,51.43,460.16,87.17,428.74,55.60,395.48,44.41,367.03,39.49,479.50,85.46,455.36,51.14,429.84,35.93,405.01,28.50,32.925
RightHand,478.29,188.39,445.94,185.73,424.81,155.27,416.24,128.65,404.80,106.75,435.31,110.19,406.85,86.66,379.36,77.62,355.91,75.62,446.00,96.89,413.71,70.09,383.41,56.67,356.53,49.18,460.07,88.94,428.73,56.57,397.66,41.95,369.08,33.22,476.77,85.89,445.96,54.60,419.95,38.22,394.35,27.79,4.635
RightHand,478.71,164.73,444.58,163.86,418.08,141.81,408.82,114.45,402.73,91.53,439.44,98.99,428.30,70.80,417.58,54.40,409.26,42.75,457.47,87.84,447.88,59.45,436.72,43.27,428.94,34.33,474.70,81.84,466.04,54.82,454.56,39.71,446.77,32.94,491.96,79.39,483.18,53.42,470.85,40.31,459.79,35.90,36.960
